Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,employer provieded,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,Spark_yn,aws_yn,excell_yn
Data Scientist,"$112K-$133K
(Glassdoor est.)","Entefy’s Senior Data Scientist is a highly visible position both internally and externally. Join the intelligence revolution, where we can push the state-of-the-art boundaries of data science. This is where deep experience and multi-dimensional insights intersect with an amazing opportunity to shape the future of productivity for people everywhere.

Skills and Experience:

We’re not looking for “good.” Entefy is on a mission to find exceptional talent. The success of our mission depends on our team’s ability to be creatively analytical, insatiably curious, and absolutely fearless in tackling big challenges.
Requirements
Master's degree in Computer Science, Mathematics, Statistics, Engineering, or a compatible field. PhD is preferred.
3+ years of applicable work experience.
Demonstrable proficiency in Python, Scala, SQL, or R.
Strong data visualization and reporting skills.
Proven track record delivering high-value, advanced analytics.
Experience leading the work of other data scientists or analysts is preferred.
World-class ability to extract and communicate insights from real-world datasets.
Startup agility and versatility.
Visit www.entefy.com and www.blog.entefy.com.",4.3,"Entefy
4.3","Palo Alto, CA","Palo Alto, CA",1 to 50 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,112,133,122.5,"Entefy
4.3", CA,1,8,1,0,0,0,0
Data Analyst,"$33K-$59K
(Glassdoor est.)","Our data operations team is the pharmacy support system for our customers - we help them transition to divvyDOSE, manage their prescriptions, answer their questions, and coordinate care with their health team. This work is coordinated across pharmacists, technicians, and customer support staff to ensure we provide the best care for our customers. Among other things, we transfer prescriptions to and from other pharmacies, contact medical care providers to understand treatments and request prescription refills and answer inbound questions from our customers.

You will:


Your goal is to help the operation run more effectively and efficiently through data analysis, reporting, dash-boarding, and special projects. You will help us build context through better reporting and drive the business forward by providing data-driven recommendations on ways to improve efficiency and optimize our operation. On any given day you might be presenting to our executive team, doing a deep dive on call analytics, or working with a small team to prototype and test new processes.
Become an expert and go-to resource for our process flows and our operational data
Work with operations management to develop actionable operations performance dashboards across all areas of the organization
Perform ad-hoc data analysis to identify measurable improvements to our operation, and advocate for those improvements via presentations and reports
Maintain and improve operations forecasting models
Collaborate with Finance and Technology teams to ensure we are able to continue to effectively measure our operation as technology improves
Communicate effectively and efficiently across multiple teams and work groups
Requirements
You have strong analytical and problem-solving skills
You are used to tackling very loosely defined problems and still deliver high-quality output
Advanced proficiency in Excel, PowerPoint, and strong written and oral communication
Ability to adapt quickly to a changing environment
3-5 years of analyst experience
Bachelor's degree, with major in analytical or technical field strongly preferred
Experience with BI tools such as Looker or Tableau is a plus
Job Title: Data Analyst

Job Type: Full-time

FLSA Status: Exempt

Benefits

In addition to competitive salary and a unique opportunity to thrive at a growing company, divvyDOSE offers various formal benefits as well.

INSURANCE, PAID TIME OFF, & RETIREMENT

Full-time employees receive Sick days, Vacation days, and Holiday Bonuses as well as employer-paid Medical (including a Health Savings Account with an employer contribution), Dental, Vision, and Life insurance. In addition, we're proud to offer Voluntary Life & AD&D, Short Term Disability, and Long Term Disability coverage. A 401k plan with employer contribution is available, too.

SOCIAL EVENTS

In our company description, you can tell the divvyTEAM likes to have fun. Regular potlucks, company events, pizza days, wellness challenges, and divvyNEWS You Can Use updates maintain our work-hard play-hard culture.

divvyDOSE provides equal employment opportunity to all qualified applicants regardless of race, color, religion, national origin, sex, sexual orientation, gender identity, age, disability, genetic information, or veteran status, or other legally protected classification in the state in which a person is seeking employment. Applicants encouraged to confidentially self-identify when applying. Local applicants encouraged to apply. Drug-free work environment. Must be eligible to work in the United States.

Apply for this job",3.4,"divvyDOSE
3.4","Moline, IL","Moline, IL",201 to 500 employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,0,33,59,46.0,"divvyDOSE
3.4", IL,1,5,0,0,0,0,0
Data Analyst,"$34K-$62K
(Glassdoor est.)","Breckenridge Grand Vacations (BGV) is seeking qualified analysts who will help grow our highly cross-functional analytics department. The Data Analyst is responsible for quantitative& qualitative analysis, reporting, and data mining across all of BGV’s finance, marketing, operations, and sales divisions. At its highest level, this position identifies the business’ analytical needs, collaborates with the analytics team& business intelligence, develops thoughtful analyses, and effectively communicates findings and recommendations to key decision makers including executive leadership. BGV Analysts are highly detail oriented, proactive self-starters, team players, capable of multi-tasking, and can analyze large amounts of data with creativity and innovation in mind. Please visit www.BGVjobs.com to apply!

Data Analyst Essential Duties and Responsibilities(including but not limited to):
Understand and facilitate the integration of various business processes, people, software, data, and relevant technology to identify, configure, and communicate meaningful information that supports and drives decision making across all divisions of the company.
Leverage Tableau, MS Excel, and other BI tools for analysis, reporting, data visualization, self-service support, across disparate systems. Analysts must stay abreast of changes and improvements within the software to maximize value.
Provide pertinent information to BGV managers and executives by assembling and summarizing data, developing thorough analyses, preparing reports, identifying business solutions, making presentations of findings, and recommending courses of action.
Build and maintain analytical models, dashboards, reports, and templates to drive awareness and understanding of key performance indicators while ensuring quality, accuracy, and a focused analytic review.
Utilize data analysis skills to perform full lifecycle analytics including gathering requirements, design and development of analytic data sets, data mining, data quality assessment, data profiling, analytical infrastructure maintenance, and predictive analytics support.
Convert business expectations into data analysis while recognizing the audience and effectively communicating complexities at an executive level.
Analytics Team Cross-Functional Focuses(including but not limited to):

Financial Analysis and Reporting:
Pro forma financial statements; revenue/expense budget development and variance tracking; profit/cost efficiencies; resort financing& hypothecation; accounts receivable management; tax reporting; prospective resort development
Marketing Analysis and Reporting:
Campaign strategy and segmentation; program, CRM, website, lead generation, and call center performance; property tour conversion; tour budgeting; tour show-rate tracking; no show predictions; product affinity; customer list building& targeting
Operations Analysis and Reporting:
Resort occupancy, owner usage, exchange usage, rental inventory and revenue management, average daily rates, guest outreach, owner support, reservation& contact center, vacation rentals, resort operations department performance, guest surveys
Sales Analysis and Reporting:
Sales volume forecasting; inventory control; pricing& commission management; agent performance; tour prospect ranking; tour scheduling enhancements; Volume Per Guest (VPG) budgeting; sales management and administrative initiatives
Required Experience:
2– 5 years of related professional experience developing analytics and working with data in an organization
Bachelor’s degree in Analytics, Finance, Economics, Marketing, Mathematics, Statistics, Real Estate or other related field
MBA/Masters, concentrations, certifications, or specializations in related field a plus
Qualifications:
Advanced abilities in Tableau and MS Excel (other data visualization and BI tools ok but Tableau is preferred)
Experience and knowledge of various statistical programming languages (Python, R, MATLAB)
Proficiency in reading and writing code/queries in SQL and Visual Basic (VBA)
Must be highly detail oriented with strong organizational skills and can multi-task
Possesses excellent interpersonal skills, is a team player, and is an enthusiastic learner& self-starter
Motivated by growth opportunities, looking for the ability to make an impact, appreciates work-life balance, and has an entrepreneurial spirit
Benefit Summary:
Robust Medical, dental, and vision insurance plans and employer match 401(k) plan
Paid holiday time-off and paid volunteer time-off
Recreation and ski pass programs
Tickets to Rockies, Avalanche and Nuggets games, Pepsi Center concerts and events
Discounts on lodging, retail, restaurants, and activities
Employee housing(subject to availability)
About Breckenridge Grand Vacations:

BGV was formed in 1984, serving as the developer, owner, and operator of four Breckenridge Resorts: Gold Point Resort, Grand Timber Lodge, the Grand Lodge on Peak 7 and our newest resort, the Grand Colorado on Peak 8. Winner of the ACE Philanthropic Award in 2016 from the American Resort Development Association (ARDA), Denver Post’s 2018 Top Large Workplace: 1st Place, and winner of the ACE Project of Excellence (Grand Colorado on Peak 8) in 2020 from the American Resort Development Association (ARDA) as the best resort in the world for the year. Breckenridge Grand Vacations is widely recognized as one of the most successful independent developers in the industry.

Here at Breckenridge Grand Vacations, we pride ourselves on always creating Grand vacations for families and friends alike. Our purpose statement sets the stage for impacting the lives not only of our owners and guests, but our employees and our community:The Soul of BGV is creating smiles!",4.6,"Breckenridge Grand Vacations
4.6","Breckenridge, CO","Breckenridge, CO",501 to 1000 employees,1984,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,$10 to $25 million (USD),-1,0,0,34,62,48.0,"Breckenridge Grand Vacations
4.6", CO,1,36,1,0,0,0,1
Data & Analytics Consultant,"$77K-$118K
(Glassdoor est.)","WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be adaptable and comfortable with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are authentic, low-maintenance individuals who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.

WHAT WE DO

Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
Data Strategy and Governance
Database Architecture and Development
Data Analysis
Reporting and Data Visualization
The ideal candidate will:
Have experience understanding and solving real business problems
Solid writing and speaking skills to support data storytelling
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:
Experience with statistical and mathematical modeling, artificial intelligence and machine learning software and methods
Specialization in architecting enterprise solutions with visualizations and data-discovery tools such as Tableau, QlikView, Spotfire, Amazon Web Services, Cloud, Salesforce
Technical capabilities that include designing scalable data architectures, solution performance tuning, and hardware sizing
Experience and knowledge of programming and scripting languages, such as , Python, Java, C#, PL/SQL, R and SAS
Experience and knowledge of relational and dimensional database structures, theories, principles, and practice used in data warehousing and analytics solutions
Experience managing, populating, and querying database technologies including RDBMS, NOSQL, and big data platforms and experience working with these technologies' ecosystems
QUALIFICATIONS

Required
Demonstrated business and technology acumen
Proven track record of delivering results
Experience working with and/or leading a team
Ability to work independently
Ability to work across industries, roles, functions & technologies
Positive can-do attitude
A curiosity for new technology
Authorization for permanent employment in the United States (this position is not eligible for immigration sponsorship)
Preferred
Bachelor’s degree (Mathematics, Computer Science, or related field preferred)
8+ years professional experience
Consulting experience
Experience across our service offerings",4.6,"SEI
4.6","Atlanta, GA","Cincinnati, OH",201 to 500 employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,0,0,77,118,97.5,"SEI
4.6", GA,0,28,1,0,0,0,0
Data Analyst,"$33K-$59K
(Glassdoor est.)","At Make-A-Wish® America, we are more than a great place to work — our work is life-changing. Together, we create life-changing wishes for children with critical illnesses. Nearly 40 years ago the inspiration for Make-A-Wish began with one little boy's wish to be a police officer. Today, together with our volunteers, donors, staff and supporters, Make-A-Wish has granted more than 300,000 life-changing wishes and transformed countless lives.

THE TEAM

Make-A-Wish America is the national headquarters for our organization, providing resources and support for our 60 Chapters around the country. The Information Technology team is comprised of a diverse team of technologists responsible for building and operating the technologies that enable Make-A-Wish to grant the wish of every eligible child. The Information Technology team is focused on providing innovative solutions across these key areas: Operations, Security, Applications, Infrastructure, Governance, and Analytics.

THE ROLE

The Data Analyst role is a key contributor to our mission by supporting data governance initiatives to ensure data quality and enable greater insights from internal and external information.

WHERE YOU COME IN

As a Data Analyst at Make-A-Wish America you will:
Support the planning, preparation, translation, and execution of data flows and migrations between enterprise platforms.
Evaluate enterprise data and identify opportunities to improve data through governance.
Develop data integrity checks and leads remediation efforts with stakeholders.
Evaluate requirements for data gathered from multiple sources, reconcile conflicts, and build translation models for the Enterprise Data Warehouse.
Partner with stakeholders and subject matter experts to support ongoing documentation and maintenance of data standards within the enterprise knowledgebase.
Partner with stakeholders to identify and implement data enrichment throughout the enterprise.
Evaluate enterprise data to identify emerging trends.
WHAT YOU’LL NEED
Bachelor’s degree in Business, Computer Information Systems, Finance, Industrial Engineering or related field
2+ years relevant experience as a Data Analyst
Ability to write and interpret SQL-based queries
Familiarity with translation tools, Master Data Services
Experience with Power BI
Ability to be to be successful and adapt in a matrix organization
Growth mindset, inspired to innovate and solution
Strong organizational skills to handle multiple projects and deadlines


WHAT WE OFFER
Competitive compensation with annual incentive potential
Comprehensive benefit package: Medical, Vision, Dental, Wellness*
Health and Flexible Spending Account Options
Short Term Disability, Long Term Disability and Life Insurance*
401(k) Retirement Savings Plan
15 PTO days, 10 Sick Days, 10 Paid Holidays, and 2 Personal Days
Maternity Leave
Educational Tuition Assistance
Employee Awards and Recognition Programs
Individual and Leadership Development
Discounts and special offers for theme parks, events, hotels, concerts, and movie tickets
*Make-A-Wish America pays the monthly premiums for employees participating in the HSA qualified healthcare, vision, dental, and short/long term disability plans.

We are more than a great place to work - our work is life changing. We are an inclusive and diverse group of people who, through a mosaic of backgrounds, thoughts, and experiences are united in purposeful work. We are fueled and guided by our values - values that are represented in the inspired people we work with and the transformational work we do every day.

We respect and ensure equal opportunity, regardless of race, religion, ethnicity, national origin, age, gender identity, sexual orientation, disability, perceived disability and other legally protected characteristics.

Required Skills

Required Experience

Job Location
Remote,",3.6,"Make-A-Wish Foundation of America
3.6","Phoenix, AZ","Phoenix, AZ",1001 to 5000 employees,1980,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),-1,0,0,33,59,46.0,"Make-A-Wish Foundation of America
3.6", AZ,1,40,0,0,0,0,0
Senior Data Scientist,"$86K-$137K
(Glassdoor est.)","GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.

Expected Qualifications:

Advanced degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc.
4 years of experience in designing, developing, evaluating, and deploying predictive modeling, machine learning, advanced analytics
Deep understanding and experience with advanced statistics and modern machine learning predictive techniques, including GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, and graph analytics.
Superior coding skills using common data science tools, including Python (strongly preferred), R, Linux/Unix command line and shell scripting.
Excellent skill and significant experience in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Strong experience with distributed storage and big data computing technology, such as AWS, Hadoop, or Spark
Excellent communication skills and experience in working with stakeholders
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes
Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

About GEICO
For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.

#LI-JW1

#DI-JW",3.3,"GEICO
3.3","Chevy Chase, MD","Washington, DC",10000+ employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,86,137,111.5,"GEICO
3.3", MD,0,84,1,0,1,1,1
Data Scientist,"$72K-$121K
(Glassdoor est.)","As a Data Scientist, you will have the unique opportunity to work on a program developing target models and advancing state-of-the-art modeling and prediction capabilities. This program will develop and train machine learning models to detect and discern features in scenes and develop an adversarial patch framework to defeat the trained classifiers.
Our delivery teams are driven to explore new ideas and technology, and care deeply about collaboration, feedback, and iteration. We follow SAFe agile practices, embrace the Ops ethos(DataOps/DevSecOps/MLOps) to “automate-first”, use modern tech stacks, and constantly challenge each other to grow and improve.
If cutting edge data science projects resonate with you and you care deeply about joining a mission-driven company with a strong growth direction and diverse culture, we'd love to learn more about you. Check out the details below, and let’s connect.

Technical members of our solutions teams require little guidance, but love to learn, collaborate, and problem solve. This position requires a mid to senior level of experience, a passion for mission support, and a strong desire to solve our customers’ hardest technical and data challenges.
The Data Scientist will be responsible for the following:
Develop, train and evaluate Machine Learning models
Develop strategies for data augmentation and synthetic data
Utilize models to detect and classify targets within scenes
Develop adversarial attacks to defeat trained classifiers

Requirements:
TS/SCI clearance required
5+ years of related experience
Experience with deep learning frameworks such as PyTorch, Tensorflow or MXNet
Prior experience with the Intelligence Community and methodological experience in some of the following areas
Relationships and discovery (correlating, enriching, and prioritizing target data)
Situational awareness (unifying data into a single context, allowing the current situation to be accurately and quickly understood)
Systems modeling (building a computational analog of real-world-system to understand how it operates, what it is capable of, and how it can be fooled)
We're looking for a motivated Data Scientist eager to advance not only your professional career, but also the missions of our Intelligence and Defense communities. At NT Concepts, you'll be able to:
Meaningfully impact the company's growth, and share in the rewards accordingly
Develop your own career path through our What’s Next program, which emphasizes personal growth through training and certification
Work on programs of importance that directly impact National Security and the world
Work in a fun, “challenging yet rewarding” fast-paced environment
#CJ",3.3,"NT Concepts
3.3","Chantilly, VA","Vienna, VA",501 to 1000 employees,1998,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,0,0,72,121,96.5,"NT Concepts
3.3", VA,0,22,0,0,0,0,0
Machine Learning Engineer,"$108K-$186K
(Glassdoor est.)","CircleUp harnesses the power of machine learning and predictive analytics to discover some of the fastest-growing companies in the consumer & retail sector. We are building a predictive data system called ""Helio"" to bring the data-driven revolution that has occurred in the public markets to the private markets, starting with consumer & retail.

We are working on challenging problems in information retrieval, entity resolution, and developing an in-depth knowledge graph of all private companies. We are mining vast amounts of data to successfully rewrite the rules on how private companies are evaluated.

With a background in both software development and machine learning, you will collaborate with software engineers, data scientists, PMs, and domain experts in consumer investing to develop & ship predictive data products in support of CircleUp's mission - helping entrepreneurs thrive by connecting them with the capital & resources they need.

You are a passionate software engineer who is comfortable working across the full stack & lifecycle of predictive data products - prototyping, feature engineering, validation, and productionalization.

Responsibilities:
Collect and refine structured and unstructured data on private companies
Build out our entity resolution platform that can identify references to companies, brands and products in highly unstructured digital documents and link them back to real world entities
Build scalable production systems for data collection, data transformation, feature extraction, model training, and scoring, using distributed software tools
Build end to end algorithms for objectively measuring the quality of private consumer companies
Contribute to all phases of algorithm development including ideation, prototyping, design and production
We're looking for teammates who have:
Bachelor's degree or higher in Computer Science, Information retrieval, Natural Language processing, Math, Statistics or related technical field
2+ years of experience in machine learning, NLP and/or information retrieval
Broad knowledge of machine learning APIs, tools, and open source libraries
Excellent coding skills and strong fundamentals in algorithms, data structures, predictive modeling and big data concepts
Experience putting models into production systems is a huge plus
If you got to this point, we hope you’re feeling excited about the job description you just read! Even if you feel that you don't meet all of the requirements and qualifications, we still encourage you to apply. We’re eager to speak with those who share our passion to help entrepreneurs thrive - not just those who match every bullet point in our job descriptions.

CircleUp is an equal opportunity employer. We do not discriminate based upon race, religious creed, color, national origin, ancestry, physical or mental disability, medical condition, genetic information, marital status (including registered domestic partnership status), sex and gender (including pregnancy, childbirth, lactation and related medical conditions), gender identity and gender expression (including transgender individuals who are transitioning, have transitioned, or are perceived to be transitioning to the gender with which they identify), age, sexual orientation, Civil Air Patrol status, military and veteran status and any other consideration protected by federal, state or local law. We encourage those who really want to make an impact to apply for our open positions.",4.5,"CircleUp
4.5","San Francisco, CA","San Francisco, CA",51 to 200 employees,2012,Company - Private,Venture Capital & Private Equity,Finance,Unknown / Non-Applicable,-1,0,0,108,186,147.0,"CircleUp
4.5", CA,1,8,0,0,0,0,1
